variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,slope_mean,parBETA,-0.661574146430996,0.661574146430996
deterministic,param_mean,frac_snow,route_b,0.6418389262050239,0.6418389262050239
deterministic,param_mean,lai_diff,parK1,0.5949534854084364,0.5949534854084364
deterministic,param_mean,pet_mean,parCFMAX,-0.5933086634078,0.5933086634078
deterministic,param_mean,aridity,parPERC,-0.5879973358404005,0.5879973358404005
deterministic,param_mean,soil_conductivity,parUZL,0.5870347957164016,0.5870347957164016
deterministic,param_mean,frac_forest,parTT,0.5567977545848879,0.5567977545848879
deterministic,param_mean,pet_mean,parFC,0.5567889983994203,0.5567889983994203
deterministic,param_mean,slope_mean,parPERC,0.5565928732929221,0.5565928732929221
deterministic,param_mean,slope_mean,parTT,0.5562310797781149,0.5562310797781149
deterministic,param_mean,high_prec_dur,parK1,-0.554699040862255,0.554699040862255
deterministic,param_mean,p_mean,parPERC,0.5526630775852327,0.5526630775852327
deterministic,param_mean,soil_depth_pelletier,parBETA,0.5523411944469027,0.5523411944469027
deterministic,param_mean,frac_forest,parPERC,0.5499844163425908,0.5499844163425908
deterministic,param_mean,low_prec_freq,parCFR,0.5473946724837412,0.5473946724837412
deterministic,param_mean,p_seasonality,parUZL,-0.5416908116149023,0.5416908116149023
deterministic,param_mean,lai_max,parK1,0.5404144355131513,0.5404144355131513
deterministic,param_mean,high_prec_freq,parCFR,0.5397482397468206,0.5397482397468206
deterministic,param_mean,clay_frac,parCFMAX,-0.5379761070804632,0.5379761070804632
deterministic,param_mean,p_seasonality,parPERC,-0.5376371853843115,0.5376371853843115
deterministic,param_mean,aridity,parK1,-0.5320309888889156,0.5320309888889156
deterministic,param_mean,low_prec_dur,parK1,-0.5228720986989379,0.5228720986989379
deterministic,param_mean,low_prec_freq,parCFMAX,-0.5220179977688592,0.5220179977688592
deterministic,param_mean,frac_snow,parCFMAX,0.5217921126043182,0.5217921126043182
deterministic,param_mean,gvf_max,parK1,0.5195756420151755,0.5195756420151755
deterministic,param_mean,elev_mean,parBETA,-0.5162307054057976,0.5162307054057976
deterministic,param_mean,frac_forest,parCFR,-0.5161942031933953,0.5161942031933953
deterministic,param_mean,high_prec_freq,parCFMAX,-0.513366900764695,0.513366900764695
deterministic,param_mean,low_prec_dur,parCFMAX,-0.5124277755469582,0.5124277755469582
deterministic,param_mean,sand_frac,parUZL,0.5022709977348031,0.5022709977348031
deterministic,param_mean,frac_snow,parBETA,-0.5004598966590191,0.5004598966590191
deterministic,param_mean,high_prec_freq,parCWH,0.49812577781511613,0.49812577781511613
deterministic,param_mean,soil_conductivity,parBETA,-0.48863204719169306,0.48863204719169306
deterministic,param_mean,clay_frac,parTT,-0.48752406454904584,0.48752406454904584
deterministic,param_mean,soil_porosity,parUZL,-0.48653786862699344,0.48653786862699344
deterministic,param_mean,clay_frac,route_b,-0.4853101430685393,0.4853101430685393
deterministic,param_mean,low_prec_freq,parCWH,0.48240135513292526,0.48240135513292526
deterministic,param_mean,slope_mean,parCWH,-0.4780786311798043,0.4780786311798043
deterministic,param_mean,slope_mean,parUZL,0.47457611088802915,0.47457611088802915
deterministic,param_mean,frac_forest,parCWH,-0.4728415851706535,0.4728415851706535
deterministic,param_mean,pet_mean,parTT,-0.46944784410658885,0.46944784410658885
deterministic,param_mean,frac_forest,parCFMAX,0.46795104622309364,0.46795104622309364
deterministic,param_mean,frac_forest,parBETA,-0.467317996845149,0.467317996845149
deterministic,param_mean,root_depth_50,parK1,0.46720107571308456,0.46720107571308456
deterministic,param_mean,soil_depth_pelletier,parPERC,-0.46562830348861733,0.46562830348861733
deterministic,param_mean,p_mean,parK1,0.4643158904616835,0.4643158904616835
deterministic,param_mean,high_prec_freq,parBETA,0.4636774784317004,0.4636774784317004
deterministic,param_mean,clay_frac,parUZL,-0.46271375718465013,0.46271375718465013
deterministic,param_mean,clay_frac,parBETA,0.4626758065349617,0.4626758065349617
deterministic,param_mean,high_prec_freq,parTT,-0.4623422891836327,0.4623422891836327
deterministic,param_mean,low_prec_freq,parPERC,-0.4588124508914151,0.4588124508914151
deterministic,param_mean,gvf_diff,parK1,0.44871084009993,0.44871084009993
deterministic,param_mean,frac_forest,parK0,0.4482205323647835,0.4482205323647835
deterministic,param_mean,low_prec_freq,parK0,-0.44671407315467143,0.44671407315467143
deterministic,param_mean,p_seasonality,parBETA,0.4447566790336891,0.4447566790336891
deterministic,param_mean,low_prec_dur,parFC,0.44190833655933887,0.44190833655933887
deterministic,param_mean,frac_snow,parFC,-0.44151658176746733,0.44151658176746733
deterministic,param_mean,elev_mean,route_a,-0.4373731826643116,0.4373731826643116
deterministic,param_mean,low_prec_dur,parCFR,0.436527920376573,0.436527920376573
deterministic,param_mean,low_prec_freq,parTT,-0.43205989301627495,0.43205989301627495
deterministic,param_mean,frac_snow,parCFR,-0.42931569493153265,0.42931569493153265
deterministic,param_mean,high_prec_freq,parPERC,-0.4263691240893493,0.4263691240893493
deterministic,param_mean,elev_mean,route_b,0.4226745794505969,0.4226745794505969
deterministic,param_mean,high_prec_freq,parK0,-0.42250884173638836,0.42250884173638836
deterministic,param_mean,geol_2nd_class,parK1,-0.419600963398818,0.419600963398818
deterministic,param_mean,gvf_diff,parUZL,-0.41860247035882,0.41860247035882
deterministic,param_mean,glim_1st_class_frac,parK1,0.4182388086387265,0.4182388086387265
deterministic,param_mean,frac_snow,parTT,0.4165607360144506,0.4165607360144506
deterministic,param_mean,soil_depth_statsgo,route_a,0.4165183778594118,0.4165183778594118
deterministic,param_mean,low_prec_freq,parFC,0.4158289360418941,0.4158289360418941
deterministic,param_mean,elev_mean,parTT,0.41105394624741315,0.41105394624741315
deterministic,param_mean,soil_depth_pelletier,route_a,0.4109338160050016,0.4109338160050016
deterministic,param_mean,soil_porosity,parBETA,0.4104493807762407,0.4104493807762407
deterministic,param_mean,slope_mean,parCFR,-0.4102930816007079,0.4102930816007079
deterministic,param_mean,soil_depth_pelletier,parCWH,0.4102815929040037,0.4102815929040037
deterministic,param_mean,soil_conductivity,parTT,0.4097520025229368,0.4097520025229368
